bank_key,bank_id,bank_name
4,12377,France Bank #259
227,25418,France Bank #165
381,151596,Japan Bank #184
420,49162,National Bank of the North
462,144764,China Bank #620
740,221200,National Bank of Boston
801,252944,Japan Bank #253
858,24833,First Bank of the South
1005,142805,Arbor Cooperative Bank
1152,177771,National Bank of Milford
1213,1137,Greece Bank #277
1266,162189,India Bank #25
1334,160474,India Bank #120
1509,14,Spain Bank #32
1628,26241,Bank of Lincoln
1855,236983,China Bank #21
1915,266457,Savings Bank of Seattle
1931,217504,Germany Bank #325
1987,215784,Sappo Savings Bank
2060,116385,Slovakia Bank #113
2070,27904,First Bank of Arkadelphia
2232,138336,Spain Bank #890
2546,78911,First Bank of Huron
2547,22620,Germany Bank #607
2600,29598,National Bank of Philadelphia
2820,129528,First Bank of Harrisburg
2838,269232,First Bank of Huron
2861,21832,Finland Bank #684
2934,2142416,Mexico Bank #98
2958,159678,India Bank #103
2996,5965,Bank of Harrisburg
3100,9376,National Bank of Butte
3142,26504,Netherlands Bank #495
3150,24750,Spruce Cooperative Bank
3170,15,Russia Bank #72
3236,19769,China Bank #62
3322,235889,China Bank #237
3345,1209449,Crytpo Bank #26
3496,158381,Hearthstone Savings Bank
3635,242826,Savings Bank of Lacrosse
3672,249457,National Bank of Omaha
3694,36326,China Bank #44
3873,110968,First Bank of Watertown
4075,196902,UK Bank #57
4083,193279,First Bank of Denver
4116,2131507,Australia Bank #177
4177,12763,Germany Bank #48
4193,170473,National Bank of Miami
4207,271673,Italy Bank #807
4275,1180722,Israel Bank #63
4326,112934,Savings Bank of Portsmouth
4491,34319,Spain Bank #585
4575,277109,Golden Trust Bank
4590,229609,China Bank #231
4652,211154,Regents Trust Bank
4671,2,China Bank #55
4745,21710,France Bank #94
4815,257575,Slovakia Bank #1011
4849,156525,Brazil Bank #65
5180,1211444,Crytpo Bank #31
5236,259893,India Bank #63
5256,1203,Israel Bank #16
5302,36897,Oak Cooperative Bank
5325,10536,Savings Bank of Lincoln
5404,245398,Germany Bank #72
5473,4214,Bank of Springfield
5727,167064,India Bank #169
5729,76716,National Bank of Augusta
5735,26830,Bank of Springfield
5767,40304,France Bank #2711
6030,123424,Golden Bancorp
6128,160226,India Bank #0
6179,142662,Mexico Bank #49
6212,121111,First Bank of Houston
6364,16000,Italy Bank #351
6372,10906,Spain Bank #298
6439,36925,China Bank #75
6581,166302,National Bank of Bridgeport
6614,21138,Savings Bank of Chicago
6693,279511,Russia Bank #200
6742,17559,Sappo Bancorp
6811,110229,Canada Bank #107
6865,42983,Spain Bank #3847
6912,18824,Oasis Federal Bank
6968,252706,Savings Bank of Fort Wayne
7051,213197,Greece Bank #919
7065,159430,India Bank #96
7142,69280,Bank of Boston
7155,219680,Savings Bank of Fairfield
7269,167593,Switzerland Bank #71
7428,19959,Slovakia Bank #362
7470,1938,Finland Bank #20
7484,1109792,Canada Bank #108
7485,212174,Crytpo Bank #50
7517,7030,Savings Bank of Portland
7619,194930,UK Bank #131
7707,63074,National Bank of Madison
7807,270495,National Bank of Butte
7893,153290,Savings Bank of Pittsburgh
7924,294248,UK Bank #10
7991,94379,UK Bank #128
8066,27543,National Bank of Detroit
8072,13,Japan Bank #28
8108,223769,Golden Cooperative Bank
8201,37262,First Bank of Phoenix
8208,225755,France Bank #166
8229,183371,Ireland Bank #5020
8233,242855,Savings Bank of Detroit
8290,8456,Savings Bank of Providence
8359,111,Australia Bank #53
8404,7061,National Bank of Chicago
8534,221648,Germany Bank #438
8592,144868,China Bank #727
8608,232913,National Bank of Chicago
8692,167112,Switzerland Bank #58
8877,61411,India Bank #101
8979,1116576,Acme Trust Bank
8986,159478,India Bank #80
9085,25699,Spain Bank #199
9119,224073,Savings Bank of Newbury
9427,131458,Future Credit Union
9440,34715,China Bank #228
9461,120997,First Bank of Newport
9654,238261,Acme Thrift
9681,265090,National Bank of Milford
9975,76131,National Bank of Tampa
9999,111667,National Bank of Lincoln
10132,13676,Sunrise Federal Bank
10135,25268,Future Savings Bank
10336,43766,China Bank #336
10364,14778,Flagstone Federal Bank
10450,260675,India Bank #105
10451,28905,China Bank #230
10515,236213,China Bank #273
10542,135161,China Bank #9
10622,137089,China Bank #76
10630,5610,Sea Thrift
10678,15852,France Bank #7
10730,127565,Germany Bank #1501
10757,54621,Japan Bank #13
10761,188230,Israel Bank #31
10769,277726,Russia Bank #168
10909,123469,National Bank of Lacrosse
10918,193675,UK Bank #62
11088,22794,Spain Bank #23
11117,99552,UK Bank #86
11200,235971,China Bank #156
11211,219342,Italy Bank #501
11315,249492,France Bank #2320
11376,46526,First Bank of Indianapolis
11419,21976,Italy Bank #835
11446,2143905,Mexico Bank #19
11538,2105844,Golden Bank
11669,63262,Bank of Butte
11795,1181597,Israel Bank #92
11847,98620,UK Bank #189
11866,218354,Savings Bank of Pittsburgh
11994,10975,Savings Bank of Danbury
12011,125850,Italy Bank #513
12054,1181810,Israel Bank #77
12072,127723,France Bank #2124
12145,1148,Germany Bank #146
12172,12869,Lithuania Bank #979
12258,181621,Russia Bank #224
12436,46350,China Bank #134
12450,29,Australia Bank #3
12452,25025,Oasis Federal Bank
12513,2117186,Hilltop Federal Bank
12582,218608,National Bank of Miami
12585,2127249,Australia Bank #86
12607,17690,Estonia Bank #369
12712,111736,Bank of New York
12760,240838,China Bank #497
12822,24168,Germany Bank #67
12859,127790,Germany Bank #125
12952,242061,Savings Bank of Newbury
13025,16582,First Bank of Watertown
13033,254896,China Bank #714
13076,214976,Slovakia Bank #828
13143,1124918,Australia Bank #65
13275,20937,Sunrise Bank
13290,11907,Savings Bank of Miami
13292,225431,The Pine Savings Bank
13298,147055,National Bank of Madison
13407,66188,Spain Bank #313
13412,122252,Plandor Trust Bank
13493,265987,India Bank #14
13605,239107,China Bank #33
13845,1,France Bank #59
13923,212362,Crytpo Bank #20
13991,8903,Bank of Portsmouth
14038,165858,Savings Bank of Topeka
14111,38871,Germany Bank #1718
14240,2202368,Saudi Arabia Bank #43
14256,153756,Bank of Plattsburg
14304,150224,Japan Bank #16
14309,234466,China Bank #460
14369,139967,Germany Bank #5172
14460,1111870,Brownstone Trust Bank
14494,29319,France Bank #238
14683,124800,Australia Bank #62
14782,2129461,Australia Bank #115
14800,225981,Italy Bank #3030
14840,119206,Germany Bank #27
14843,34024,Slovenia Bank #184
14861,115,Switzerland Bank #35
15126,95518,UK Bank #107
15174,260500,India Bank #115
15312,16915,France Bank #76
15316,22320,Italy Bank #340
15372,23506,Germany Bank #272
15392,122300,National Bank of Omaha
15514,256086,Willows Cooperative Bank
15581,213784,Netherlands Bank #473
15634,1538,Germany Bank #99
15701,133473,Flagstone Thrift
15821,33128,Savings Bank of Cleveland
15858,210330,France Bank #361
15860,122097,Italy Bank #504
15892,18857,Spain Bank #496
