date_key,full_date,year_number,quarter_number,quarter_label,month_number,month_name,year_month,year_month_sort,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20220912,2022-09-12,2022,3,Q3,9,September,2022-09,202209,37,12,1,Monday,f
20220924,2022-09-24,2022,3,Q3,9,September,2022-09,202209,38,24,6,Saturday,t
20220916,2022-09-16,2022,3,Q3,9,September,2022-09,202209,37,16,5,Friday,f
20220921,2022-09-21,2022,3,Q3,9,September,2022-09,202209,38,21,3,Wednesday,f
20220917,2022-09-17,2022,3,Q3,9,September,2022-09,202209,37,17,6,Saturday,t
20220928,2022-09-28,2022,3,Q3,9,September,2022-09,202209,39,28,3,Wednesday,f
20220906,2022-09-06,2022,3,Q3,9,September,2022-09,202209,36,6,2,Tuesday,f
20220923,2022-09-23,2022,3,Q3,9,September,2022-09,202209,38,23,5,Friday,f
20220903,2022-09-03,2022,3,Q3,9,September,2022-09,202209,35,3,6,Saturday,t
20220901,2022-09-01,2022,3,Q3,9,September,2022-09,202209,35,1,4,Thursday,f
20220902,2022-09-02,2022,3,Q3,9,September,2022-09,202209,35,2,5,Friday,f
20220914,2022-09-14,2022,3,Q3,9,September,2022-09,202209,37,14,3,Wednesday,f
20220918,2022-09-18,2022,3,Q3,9,September,2022-09,202209,37,18,7,Sunday,t
20220915,2022-09-15,2022,3,Q3,9,September,2022-09,202209,37,15,4,Thursday,f
20220909,2022-09-09,2022,3,Q3,9,September,2022-09,202209,36,9,5,Friday,f
20220905,2022-09-05,2022,3,Q3,9,September,2022-09,202209,36,5,1,Monday,f
20220920,2022-09-20,2022,3,Q3,9,September,2022-09,202209,38,20,2,Tuesday,f
20220919,2022-09-19,2022,3,Q3,9,September,2022-09,202209,38,19,1,Monday,f
20220907,2022-09-07,2022,3,Q3,9,September,2022-09,202209,36,7,3,Wednesday,f
20220911,2022-09-11,2022,3,Q3,9,September,2022-09,202209,36,11,7,Sunday,t
20220927,2022-09-27,2022,3,Q3,9,September,2022-09,202209,39,27,2,Tuesday,f
20220908,2022-09-08,2022,3,Q3,9,September,2022-09,202209,36,8,4,Thursday,f
20220910,2022-09-10,2022,3,Q3,9,September,2022-09,202209,36,10,6,Saturday,t
20220922,2022-09-22,2022,3,Q3,9,September,2022-09,202209,38,22,4,Thursday,f
20220913,2022-09-13,2022,3,Q3,9,September,2022-09,202209,37,13,2,Tuesday,f
20220904,2022-09-04,2022,3,Q3,9,September,2022-09,202209,35,4,7,Sunday,t
20220925,2022-09-25,2022,3,Q3,9,September,2022-09,202209,38,25,7,Sunday,t
20220926,2022-09-26,2022,3,Q3,9,September,2022-09,202209,39,26,1,Monday,f
