bank_key,sent_count,received_count,total_participations,laundering_participations
72647,2960783,18528,2979311,4196
18992,166485,74056,240541,423
79056,164584,71382,235966,518
54664,149819,84132,233951,269
85402,159908,61261,221169,567
78590,157093,58812,215905,587
51807,98772,58720,157492,45
12450,91374,48049,139423,170
1509,93344,42204,135548,251
3170,85704,48994,134698,153
48841,83707,47570,131277,141
90467,79976,47860,127836,35
87649,85366,42344,127710,231
74075,84230,38245,122475,285
97716,75996,40451,116447,293
8359,71519,38167,109686,72
37433,75445,33197,108642,306
36666,70114,37101,107215,33
27717,75480,30919,106399,234
23444,74440,30100,104540,223
30584,67835,30364,98199,191
82481,62159,31687,93846,49
92332,60521,31862,92383,41
74916,62907,29140,92047,186
24617,59931,29074,89005,194
101323,60285,28346,88631,176
26743,54039,32360,86399,110
91213,57903,27947,85850,182
46782,57053,28519,85572,117
19477,58013,26544,84557,156
8072,55332,29183,84515,46
104698,55845,26225,82070,138
16121,57957,23125,81082,287
13845,57024,23630,80654,261
35302,54356,26227,80583,106
113446,56666,23622,80288,243
111326,52715,27140,79855,164
84395,53694,25577,79271,248
26072,55067,23933,79000,88
69737,53211,25260,78471,116
92903,51866,24611,76477,137
41489,51761,24319,76080,124
34838,51102,24593,75695,135
89187,49719,25953,75672,109
103898,49337,25470,74807,126
59195,48371,24837,73208,130
32192,44932,25276,70208,123
4671,47802,22118,69920,100
63852,45153,24161,69314,81
25696,43466,24742,68208,62
54327,45099,22792,67891,80
59338,44314,23572,67886,107
86604,43096,24336,67432,122
22428,44350,22978,67328,73
42391,43661,22227,65888,66
57548,43424,21307,64731,154
76000,42437,22258,64695,188
58210,43952,20370,64322,113
22421,42897,21365,64262,128
81566,43325,20353,63678,137
26817,42422,20305,62727,129
80175,39678,21231,60909,82
106679,39669,20848,60517,117
74314,39302,20629,59931,55
15634,39872,19945,59817,103
85764,39815,19720,59535,128
40984,37050,21749,58799,67
44824,38747,19024,57771,43
73709,37826,19888,57714,62
30773,36492,21217,57709,83
80616,36182,21307,57489,57
119455,37445,19256,56701,126
7470,37519,19083,56602,125
34505,35022,21537,56559,95
45016,34857,21601,56458,76
74038,36650,18762,55412,51
107564,35209,20104,55313,13
25142,35461,19600,55061,97
16523,35158,19678,54836,110
5256,35366,19138,54504,43
66332,33920,20448,54368,68
118965,33834,20375,54209,75
55759,33739,20068,53807,26
37374,32941,20813,53754,140
85529,32847,20778,53625,51
45742,34081,19495,53576,16
16610,33359,20160,53519,89
47939,33511,19878,53389,18
113581,34461,18715,53176,29
101406,34062,18845,52907,43
97367,34666,18059,52725,13
12145,34053,18473,52526,144
40492,33146,19158,52304,75
36963,33125,18962,52087,15
76724,31329,20743,52072,102
17758,33888,18074,51962,26
77073,32810,18947,51757,94
67144,32672,18917,51589,77
53663,31042,20213,51255,11
5473,32235,18779,51014,73
49341,31434,19427,50861,87
31532,32148,18584,50732,104
52448,31936,18779,50715,88
22324,31678,18678,50356,45
18516,33196,17158,50354,87
26937,31944,18387,50331,72
17171,29832,19750,49582,185
23727,29486,19966,49452,60
1213,32004,17440,49444,96
94068,29934,19258,49192,92
59302,30901,18173,49074,124
34401,31140,17927,49067,71
72624,30025,18894,48919,56
88717,29662,19141,48803,59
115811,31535,16595,48130,20
103720,30127,17860,47987,79
36710,30556,17377,47933,19
40598,28719,19116,47835,11
102368,28159,19270,47429,41
64457,27170,20069,47239,57
101594,28867,18198,47065,130
69463,29162,17743,46905,66
87015,27863,18927,46790,98
100078,28412,18213,46625,43
99164,28726,17841,46567,76
32565,28172,18012,46184,85
41145,27192,18556,45748,43
81897,28222,17421,45643,61
71821,27562,17961,45523,65
25934,27770,17504,45274,48
858,26796,18429,45225,78
45703,27747,17350,45097,92
118102,28177,16898,45075,10
68574,28366,16220,44586,74
4745,27671,16782,44453,54
27818,26693,17525,44218,45
85213,27567,16610,44177,110
98546,27002,16796,43798,62
19347,25927,17867,43794,35
60827,25234,18413,43647,59
104097,26118,17298,43416,16
68244,28141,15244,43385,34
52101,26221,17062,43283,30
59837,26236,16950,43186,10
85640,27294,15847,43141,49
112157,25051,18021,43072,32
17581,26256,16600,42856,89
99490,25159,17684,42843,79
41907,24359,18131,42490,62
92825,26296,16190,42486,73
68739,24682,17499,42181,53
103814,24127,17878,42005,36
92305,25191,16786,41977,44
27331,24259,17520,41779,68
111698,23013,18723,41736,55
122269,23473,18212,41685,73
105201,27749,13867,41616,6
75859,24702,16889,41591,49
59150,23957,17565,41522,48
41589,24623,16898,41521,40
111626,24835,16583,41418,73
106311,24660,16440,41100,70
10630,23937,17109,41046,47
122145,24212,16811,41023,50
34512,25480,15495,40975,55
115409,23724,17158,40882,59
38572,24643,16224,40867,91
87860,23617,17180,40797,41
28572,24425,16227,40652,38
59241,24191,16457,40648,8
82911,24186,16386,40572,8
106144,24531,15920,40451,42
21897,24887,15564,40451,9
71794,23058,17349,40407,33
46133,25968,14405,40373,27
116910,23321,17019,40340,36
14683,24621,15609,40230,21
14861,26082,14124,40206,5
114453,23994,16029,40023,70
105558,25059,14776,39835,40
104344,23440,16311,39751,93
29452,22778,16894,39672,19
68891,23253,16401,39654,21
83110,24222,15357,39579,62
109198,23460,16032,39492,35
44293,21652,17786,39438,42
25981,23279,16159,39438,6
58001,23764,15650,39414,91
45150,23092,16303,39395,37
55640,22714,16374,39088,45
59902,22018,17009,39027,95
113629,22286,16736,39022,59
79956,22402,16599,39001,52
48383,23735,15128,38863,60
37798,24574,14279,38853,99
74943,22752,16034,38786,59
28164,24470,14267,38737,9
110120,22204,16494,38698,58
54028,24962,13727,38689,14
77353,22523,16115,38638,9
96989,22047,16528,38575,39
36403,23358,15064,38422,13
