payment_currency_key,receiving_currency_key,transaction_count,laundering_count,total_amount_paid,total_amount_received
1,1,2258494,2775,4587061703304.20000000,4587061703304.20000000
1,2,1421,0,139847051.79000000,27547213.27000000
1,3,1405,0,25616213516.50000000,297575829612.14000000
1,4,698,0,156547801.95000000,87677147.00000000
1,5,1643,0,1429901933.72000000,165287577.29000000
1,6,51333,0,24951205997.90000000,3725395068.18000000
1,7,1377,0,4528587832.68000000,71266298006.81000000
1,8,7015,0,12390717178.20000000,1578810026.29000000
1,9,645,0,70637.65000000,0.88760500
1,10,1166,0,156583810.33000000,33029981.88000000
1,11,873,0,386963803.38000000,1221574056.36000000
1,12,1650,0,14615726082.04000000,7369402021.80000000
1,13,861,0,263416053.89000000,222076377.53000000
1,14,1199,0,293827613.72000000,40141582.76000000
1,15,858,0,3709022268.87000000,40672096200.51000000
2,1,315,0,9447855.07000000,47963279.82000000
2,2,1072557,605,385951716257.59000000,385951716257.59000000
2,3,20,0,811919342.57000000,47881886249.50000000
2,4,102,0,575880881.73000000,1637373437.36000000
2,5,42,0,6856.69000000,4023.67000000
2,6,3578,0,684132044.48000000,518556843.57000000
2,7,27,0,47892.86000000,3826201.77000000
2,8,575,0,54136779.03000000,35018818.62000000
2,9,80,0,64631.31000000,4.12297100
2,10,335,0,6094904.07000000,6526855.81000000
2,11,111,0,32831043.50000000,526150257.54000000
2,12,290,0,10951344.61000000,28032055.53000000
2,13,79,0,1018436.35000000,4358827.49000000
2,14,233,0,507075.00000000,351681.82000000
2,15,14,0,9629613.63000000,536070144.81000000
3,1,139,0,82392454091.91000000,7092587791.56000000
3,2,130,0,23243082.26000000,394126.28000000
3,3,973167,1457,48939463332319.22000000,48939463332319.22000000
3,4,14,0,632422.59000000,30490.48000000
3,5,60,0,8178602.36000000,81382.42000000
3,6,1132,0,22325890525.17000000,286950420.78000000
3,7,42,0,7253750622.25000000,9826555390.38000000
3,8,577,0,40255662439.60000000,441547765.46000000
3,9,22,0,440853.66000000,0.47687400
3,10,34,0,1529474.14000000,27772.85000000
3,11,79,0,7773386.82000000,2112404.24000000
3,12,43,0,2823269.42000000,122541.01000000
3,13,34,0,764146.74000000,55456.74000000
3,14,25,0,489467.24000000,5756.30000000
3,15,27,0,14543580.59000000,13728583.75000000
4,1,17,0,123434.08000000,220391.96000000
4,2,4,0,1224.09000000,430.52000000
4,4,564196,224,615532749868.35000000,615532749868.35000000
4,5,7,0,36987.69000000,7634.00000000
4,6,107,0,96836827.33000000,25815581.48000000
4,7,9,0,3139.81000000,88223.04000000
4,8,109,0,405783.44000000,92318.44000000
4,9,11,0,21743.78000000,0.48785400
4,10,3,0,14779.26000000,5566.40000000
4,11,2,0,888.59000000,5008.54000000
4,12,32,0,83972.65000000,75597.91000000
4,13,4,0,766.32000000,1153.53000000
4,14,1,0,640.32000000,156.19000000
4,15,3,0,766.81000000,15013.76000000
5,1,478,0,110946271.84000000,959795596.44000000
5,2,475,0,30396459.88000000,51798048.91000000
5,3,25,0,86321.80000000,8674996.06000000
5,4,130,0,66070249.63000000,320118979.77000000
5,5,1003299,1629,202667249310.63000000,202667249310.63000000
5,6,10263,0,1725262121.15000000,2228444999.35000000
5,7,103,0,122838631.13000000,16723316608.85000000
