bank_key,sent_count,received_count,total_participations,laundering_participations
1,15,0,15,0
2,1200,2982,4182,0
3,3,0,3,0
4,9518,9618,19136,20
5,3,0,3,0
6,4,3,7,0
7,24,0,24,0
8,5,4,9,0
9,3,0,3,0
10,55,3,58,0
11,6,0,6,0
12,3,0,3,0
13,39,0,39,0
14,13,0,13,0
15,9,0,9,0
16,7,6,13,0
17,1,1,2,0
18,15,0,15,0
19,6,0,6,0
20,9,0,9,0
21,5,5,10,0
22,2,2,4,0
23,3,2,5,0
24,12,0,12,0
25,5,4,9,0
26,3,2,5,0
27,1,0,1,0
28,4,2,6,0
29,9,0,9,0
30,2,2,4,0
31,2,2,4,0
32,2,2,4,0
33,3,3,6,0
34,6,6,12,0
35,3,0,3,0
36,10,9,19,0
37,1,1,2,0
38,1,1,2,0
39,5,5,10,0
40,1,1,2,0
41,1,1,2,0
42,28,0,28,0
43,12,12,24,0
44,6,0,6,0
45,3,0,3,0
46,9,0,9,0
47,12,0,12,0
48,12,3,15,0
49,280,1255,1535,2
50,55,0,55,0
51,6,0,6,0
52,12,0,12,0
53,14,0,14,0
54,9,0,9,0
55,5,5,10,0
56,15,0,15,0
57,2,2,4,0
58,15,0,15,0
59,11,10,21,0
60,6,0,6,0
61,1,1,2,0
62,10,0,10,0
63,6,0,6,0
64,9,8,17,0
65,2,2,4,0
66,77,466,543,0
67,24,0,24,0
68,24,0,24,0
69,24,0,24,0
70,6,0,6,0
71,24,0,24,0
72,1,1,2,0
73,18,0,18,0
74,11,0,11,0
75,12,0,12,0
76,12,0,12,0
77,7,5,12,0
78,16,0,16,0
79,3,0,3,0
80,379,1470,1849,2
81,6,0,6,0
82,6,0,6,0
83,21,0,21,0
84,1,1,2,0
85,15,0,15,0
86,2920,4997,7917,2
87,2,0,2,0
88,3,0,3,0
89,4,4,8,0
90,6,0,6,0
91,4,4,8,0
92,1625,3581,5206,1
93,18,0,18,0
94,69,6,75,0
95,12,0,12,0
96,112,1137,1249,1
97,1,1,2,0
98,3,2,5,0
99,2,2,4,0
100,12,0,12,0
101,4,0,4,0
102,9,7,16,0
103,39,0,39,0
104,3,0,3,0
105,18,3,21,0
106,5,5,10,0
107,2,2,4,0
108,24,0,24,0
109,3,1,4,0
110,3,3,6,0
111,57,0,57,0
112,3,2,5,0
113,6,0,6,0
114,8,4,12,0
115,3,0,3,0
116,39,0,39,0
117,2,2,4,0
118,12,0,12,0
119,3,2,5,0
120,12,0,12,0
121,12,0,12,0
122,3,1,4,0
123,12,0,12,0
124,7,0,7,0
125,2,2,4,0
126,9,0,9,0
127,24,0,24,0
128,13,11,24,0
129,9,0,9,0
130,12,0,12,0
131,7,4,11,0
132,4,3,7,0
133,3,2,5,0
134,2,2,4,0
135,4,0,4,0
136,3,3,6,0
137,9,0,9,0
138,9,0,9,0
139,12,0,12,0
140,31,0,31,0
141,15,0,15,0
142,6,6,12,0
143,1,1,2,0
144,9,0,9,0
145,3,0,3,0
146,42,0,42,0
147,17,0,17,0
148,10,7,17,0
149,1,1,2,0
150,6,5,11,0
151,12,0,12,0
152,18,0,18,0
153,45,0,45,0
154,2,2,4,0
155,11,9,20,0
156,3,3,6,0
157,6,4,10,0
158,6,0,6,0
159,57,0,57,0
160,6,0,6,0
161,3,3,6,0
162,7,6,13,0
163,42,0,42,0
164,3,0,3,0
165,31,0,31,0
166,12,0,12,0
167,3,2,5,0
168,2,1,3,0
169,9,0,9,0
170,12,0,12,0
171,28,0,28,0
172,7,5,12,0
173,6,4,10,0
174,3,0,3,0
175,36,0,36,0
176,5,5,10,0
177,10,0,10,0
178,15,0,15,0
179,4,2,6,0
180,3,2,5,0
181,15,14,29,0
182,9,0,9,0
183,9,0,9,0
184,676,1534,2210,0
185,3,2,5,0
