date_key,payment_currency_key,payment_format_key,transaction_count,laundering_count,laundering_rate_percent,total_amount_paid
20220901,1,1,142373,0,0.000000,248211396031.67000000
20220901,1,2,7332,0,0.000000,44831281349.30000000
20220901,1,3,28347,44,0.155219,188433502310.20000000
20220901,1,4,78143,12,0.015356,469101201230.04000000
20220901,1,5,2,0,0.000000,9782562.93000000
20220901,1,6,49728,6,0.012066,1549449133.55000000
20220901,1,7,19674,4,0.020331,153481089582.02000000
20220901,2,1,66318,0,0.000000,21007984761.45000000
20220901,2,2,3655,0,0.000000,2691591578.92000000
20220901,2,3,11322,14,0.123653,13299101417.25000000
20220901,2,4,35744,7,0.019584,46825133783.38000000
20220901,2,5,2,0,0.000000,179.54000000
20220901,2,6,23649,7,0.029600,129333421.16000000
20220901,2,7,9214,3,0.032559,14166309781.58000000
20220901,3,1,58948,0,0.000000,1038613920946.32000000
20220901,3,2,3285,0,0.000000,329326107033.66000000
20220901,3,3,10665,31,0.290670,1560283559164.70000000
20220901,3,4,35652,8,0.022439,10430400111035.43000000
20220901,3,5,1,0,0.000000,27077421.34000000
20220901,3,6,21400,4,0.018692,15548252160.59000000
20220901,3,7,8564,1,0.011677,6508400367313.77000000
20220901,4,1,34156,0,0.000000,29057940207.73000000
20220901,4,2,1822,0,0.000000,7421233048.32000000
20220901,4,3,5692,10,0.175685,23942986033.43000000
20220901,4,4,19456,7,0.035979,74393634419.36000000
20220901,4,5,1,0,0.000000,715.92000000
20220901,4,6,12503,1,0.007998,205774241.99000000
20220901,4,7,5038,0,0.000000,26182642363.70000000
20220901,5,1,61567,0,0.000000,11531676586.66000000
20220901,5,2,3320,0,0.000000,1419723319.74000000
20220901,5,3,10791,38,0.352145,13304589965.05000000
20220901,5,4,33399,4,0.011976,24064750196.59000000
20220901,5,5,1,0,0.000000,2733.81000000
20220901,5,6,22117,5,0.022607,70313154.52000000
20220901,5,7,8784,4,0.045537,6288121968.39000000
20220901,6,1,733158,0,0.000000,189630583620.31000000
20220901,6,2,37927,0,0.000000,29827660045.58000000
20220901,6,3,134032,259,0.193237,240078925123.44000000
20220901,6,4,378885,60,0.015836,444980653802.61000000
20220901,6,5,12,0,0.000000,22527.87000000
